File accession,File format,File type,File format type,Output type,File assembly,Experiment accession,Assay,Donor(s),Biosample term id,Biosample term name,Biosample type,Biosample organism,Biosample treatments,Biosample treatments amount,Biosample treatments duration,Biosample genetic modifications methods,Biosample genetic modifications categories,Biosample genetic modifications targets,Biosample genetic modifications gene targets,Biosample genetic modifications site coordinates,Biosample genetic modifications zygosity,Experiment target,Library made from,Library depleted in,Library extraction method,Library lysis method,Library crosslinking method,Library strand specific,Experiment date released,Project,RBNS protein concentration,Library fragmentation method,Library size range,Biological replicate(s),Technical replicate(s),Read length,Mapped read length,Run type,Paired end,Paired with,Index of,Derived from,Size,Lab,md5sum,dbxrefs,File download URL,Genome annotation,Platform,Controlled by,File Status,s3_uri,File analysis title,File analysis status,Audit WARNING,Audit NOT_COMPLIANT,Audit ERROR
ENCFF001IYN,fastq,fastq,,reads,,ENCSR000BZA,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0000059,large intestine,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,rRNA,,,,reverse,29/02/2012,ENCODE,,see document,>200,1,1_1,76,,paired-ended,2,/files/ENCFF001IYJ/,,,2737846941,"Thomas Gingeras, CSHL",8e68371e310980bcf8a0f2e5b429b4d6,SRA:SRR5047978,https://www.encodeproject.org/files/ENCFF001IYN/@@download/ENCFF001IYN.fastq.gz,,Illumina Genome Analyzer IIx,,released,s3://encode-public/2012/07/30/2fb59b8f-a3f7-4381-94ba-46a007533d79/ENCFF001IYN.fastq.gz,,,,,
ENCFF001IYP,fastq,fastq,,reads,,ENCSR000BZA,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0000059,large intestine,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,rRNA,,,,reverse,29/02/2012,ENCODE,,see document,>200,2,2_1,76,,paired-ended,2,/files/ENCFF001IYL/,,,2946493026,"Thomas Gingeras, CSHL",6250b225d16e5d1c5a3623ec044813c9,SRA:SRR5047976,https://www.encodeproject.org/files/ENCFF001IYP/@@download/ENCFF001IYP.fastq.gz,,Illumina Genome Analyzer IIx,,released,s3://encode-public/2012/07/30/1328b225-9e5e-46ec-84d9-92d972986eb6/ENCFF001IYP.fastq.gz,,,,,
ENCFF001JTI,fastq,fastq,,reads,,ENCSR000BZJ,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0000955,brain,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,rRNA,,,,reverse,05/09/2012,ENCODE,,see document,>200,1,1_1,101,,paired-ended,1,/files/ENCFF001JTW/,,,13347052952,"Thomas Gingeras, CSHL",a66fd8ae01f790b524188fe8e98ea65d,SRA:SRR5048020,https://www.encodeproject.org/files/ENCFF001JTI/@@download/ENCFF001JTI.fastq.gz,,Illumina HiSeq 2000,,released,s3://encode-public/2012/07/30/22dce64f-0937-424b-9ca1-c3be84f628bc/ENCFF001JTI.fastq.gz,,,,,
ENCFF001JTM,fastq,fastq,,reads,,ENCSR000BZJ,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0000955,brain,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,rRNA,,,,reverse,05/09/2012,ENCODE,,see document,>200,2,2_1,101,,paired-ended,1,/files/ENCFF001JWN/,,,13660693003,"Thomas Gingeras, CSHL",3d24d3d022aa8cffe60a11f3a1d0e24c,SRA:SRR5048019,https://www.encodeproject.org/files/ENCFF001JTM/@@download/ENCFF001JTM.fastq.gz,,Illumina HiSeq 2000,,released,s3://encode-public/2012/07/30/56783c33-5760-4d82-88ac-921c52c6d14e/ENCFF001JTM.fastq.gz,,,,,
ENCFF001JTW,fastq,fastq,,reads,,ENCSR000BZJ,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0000955,brain,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,rRNA,,,,reverse,05/09/2012,ENCODE,,see document,>200,1,1_1,101,,paired-ended,2,/files/ENCFF001JTI/,,,13986268180,"Thomas Gingeras, CSHL",e2245378ddaf5712af454705a59ebe49,SRA:SRR5048020,https://www.encodeproject.org/files/ENCFF001JTW/@@download/ENCFF001JTW.fastq.gz,,Illumina HiSeq 2000,,released,s3://encode-public/2012/07/30/0cb6fbb4-5e8b-4ea9-bafc-01cfc2ecf223/ENCFF001JTW.fastq.gz,,,,,
ENCFF001JWN,fastq,fastq,,reads,,ENCSR000BZJ,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0000955,brain,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,rRNA,,,,reverse,05/09/2012,ENCODE,,see document,>200,2,2_1,101,,paired-ended,2,/files/ENCFF001JTM/,,,14282041858,"Thomas Gingeras, CSHL",0c216bfabff62bdc40b7a3c36c6ff7c1,SRA:SRR5048019,https://www.encodeproject.org/files/ENCFF001JWN/@@download/ENCFF001JWN.fastq.gz,,Illumina HiSeq 2000,,released,s3://encode-public/2012/07/30/fb391338-f8dd-4ffe-b3dc-3500fb56a14e/ENCFF001JWN.fastq.gz,,,,,
ENCFF161LEK,fastq,fastq,,reads,,ENCSR216KLZ,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0002107,liver,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/12/2014,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_1,100,,paired-ended,1,/files/ENCFF516HOO/,,,2551512838,"Michael Snyder, Stanford",f21d705aeb75c3c111d55969219ceca9,SRA:SRR5171079,https://www.encodeproject.org/files/ENCFF161LEK/@@download/ENCFF161LEK.fastq.gz,,Illumina HiSeq 2000,,released,s3://encode-public/2014/12/03/2947c8cb-af3c-41f2-89f1-ee688d5692d3/ENCFF161LEK.fastq.gz,,,"low replicate concordance, low read depth",,
ENCFF516HOO,fastq,fastq,,reads,,ENCSR216KLZ,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0002107,liver,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/12/2014,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_1,100,,paired-ended,2,/files/ENCFF161LEK/,,,2522252307,"Michael Snyder, Stanford",d960087acfc8c3c068a937cfbb9b8a63,SRA:SRR5171079,https://www.encodeproject.org/files/ENCFF516HOO/@@download/ENCFF516HOO.fastq.gz,,Illumina HiSeq 2000,,released,s3://encode-public/2014/12/03/6b7cc0da-adc2-4e6f-8785-472e4b01bcfb/ENCFF516HOO.fastq.gz,,,"low replicate concordance, low read depth",,
ENCFF492PRP,fastq,fastq,,reads,,ENCSR216KLZ,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0002107,liver,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/12/2014,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_2,101,,paired-ended,1,/files/ENCFF581OEV/,,,2026755188,"Michael Snyder, Stanford",d78e930af0c8faf86f0483f48ae1061b,SRA:SRR5171078,https://www.encodeproject.org/files/ENCFF492PRP/@@download/ENCFF492PRP.fastq.gz,,Illumina HiSeq 2500,,released,s3://encode-public/2015/05/27/c714b509-4a74-4142-8d9c-89fcf03a4464/ENCFF492PRP.fastq.gz,,,"low replicate concordance, low read depth",,
ENCFF581OEV,fastq,fastq,,reads,,ENCSR216KLZ,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0002107,liver,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/12/2014,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_2,101,,paired-ended,2,/files/ENCFF492PRP/,,,2062565652,"Michael Snyder, Stanford",fb7b6e6a18918ae3673a8659e1176063,SRA:SRR5171078,https://www.encodeproject.org/files/ENCFF581OEV/@@download/ENCFF581OEV.fastq.gz,,Illumina HiSeq 2500,,released,s3://encode-public/2015/05/27/2798702f-d159-4d65-a9fc-bd9d453e9717/ENCFF581OEV.fastq.gz,,,"low replicate concordance, low read depth",,
ENCFF848QCK,fastq,fastq,,reads,,ENCSR966JPL,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0002106,spleen,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/01/2015,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_1,100,,paired-ended,1,/files/ENCFF511PCY/,,,3297739599,"Michael Snyder, Stanford",79e9fd19153473e371ecae855b5e03b4,SRA:SRR5171242,https://www.encodeproject.org/files/ENCFF848QCK/@@download/ENCFF848QCK.fastq.gz,,Illumina HiSeq 2000,,released,s3://encode-public/2015/01/07/a53a33dd-d148-42fc-bef2-2eee2d37d1d3/ENCFF848QCK.fastq.gz,,,low replicate concordance,insufficient read depth,
ENCFF511PCY,fastq,fastq,,reads,,ENCSR966JPL,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0002106,spleen,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/01/2015,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_1,100,,paired-ended,2,/files/ENCFF848QCK/,,,3190983044,"Michael Snyder, Stanford",86f4effcefb377422cd6e42d179fba1b,SRA:SRR5171242,https://www.encodeproject.org/files/ENCFF511PCY/@@download/ENCFF511PCY.fastq.gz,,Illumina HiSeq 2000,,released,s3://encode-public/2015/01/07/b13b0079-b544-48cb-a30f-f9f9ce9b6efb/ENCFF511PCY.fastq.gz,,,low replicate concordance,insufficient read depth,
ENCFF859JTH,fastq,fastq,,reads,,ENCSR966JPL,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0002106,spleen,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/01/2015,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_2,101,,paired-ended,2,/files/ENCFF432KKN/,,,1589147309,"Michael Snyder, Stanford",e439af7a917cf34d6ad2069b2ae959b6,SRA:SRR5171241,https://www.encodeproject.org/files/ENCFF859JTH/@@download/ENCFF859JTH.fastq.gz,,Illumina HiSeq 2500,,released,s3://encode-public/2015/05/27/e23419ca-6888-4995-a769-9e5f183a76a0/ENCFF859JTH.fastq.gz,,,low replicate concordance,insufficient read depth,
ENCFF432KKN,fastq,fastq,,reads,,ENCSR966JPL,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0002106,spleen,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/01/2015,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_2,101,,paired-ended,1,/files/ENCFF859JTH/,,,1461643416,"Michael Snyder, Stanford",d94fd2e8746f7bce2149d49ac2415085,SRA:SRR5171241,https://www.encodeproject.org/files/ENCFF432KKN/@@download/ENCFF432KKN.fastq.gz,,Illumina HiSeq 2500,,released,s3://encode-public/2015/05/27/b82d3c67-55a8-46bb-97a2-27d6cf64444b/ENCFF432KKN.fastq.gz,,,low replicate concordance,insufficient read depth,
ENCFF786ZKB,fastq,fastq,,reads,,ENCSR266ESZ,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0000473,testis,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/12/2014,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_1,100,,paired-ended,1,/files/ENCFF517RDO/,,,4291835108,"Michael Snyder, Stanford",6c64fc628e4629e095093590209c74f6,SRA:SRR5171084,https://www.encodeproject.org/files/ENCFF786ZKB/@@download/ENCFF786ZKB.fastq.gz,,Illumina HiSeq 2000,,released,s3://encode-public/2014/12/03/a42c6653-9311-4bc6-abf0-4e6b52657abd/ENCFF786ZKB.fastq.gz,,,"low replicate concordance, low read depth",,
ENCFF517RDO,fastq,fastq,,reads,,ENCSR266ESZ,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0000473,testis,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/12/2014,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_1,100,,paired-ended,2,/files/ENCFF786ZKB/,,,4300446168,"Michael Snyder, Stanford",bfb0f1dc6b5bb3641402a829b4635ad7,SRA:SRR5171084,https://www.encodeproject.org/files/ENCFF517RDO/@@download/ENCFF517RDO.fastq.gz,,Illumina HiSeq 2000,,released,s3://encode-public/2014/12/03/57ae3e0e-feae-469a-90ad-a3600add6a52/ENCFF517RDO.fastq.gz,,,"low replicate concordance, low read depth",,
ENCFF690HKC,fastq,fastq,,reads,,ENCSR266ESZ,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0000473,testis,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/12/2014,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_2,101,,paired-ended,2,/files/ENCFF682XSC/,,,2464701918,"Michael Snyder, Stanford",e37f5652a5832d5b36586e3eea5806ac,SRA:SRR5171085,https://www.encodeproject.org/files/ENCFF690HKC/@@download/ENCFF690HKC.fastq.gz,,Illumina HiSeq 2500,,released,s3://encode-public/2015/05/27/982c5620-a983-4ad3-8825-e4d4fa17e548/ENCFF690HKC.fastq.gz,,,"low replicate concordance, low read depth",,
ENCFF682XSC,fastq,fastq,,reads,,ENCSR266ESZ,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0000473,testis,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/12/2014,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_2,101,,paired-ended,1,/files/ENCFF690HKC/,,,2409240524,"Michael Snyder, Stanford",ac5a0946f918cb0c8b517c21fab50095,SRA:SRR5171085,https://www.encodeproject.org/files/ENCFF682XSC/@@download/ENCFF682XSC.fastq.gz,,Illumina HiSeq 2500,,released,s3://encode-public/2015/05/27/cf67a25e-d162-4741-ab78-e85bb9abdb6b/ENCFF682XSC.fastq.gz,,,"low replicate concordance, low read depth",,
ENCFF871XHK,fastq,fastq,,reads,,ENCSR164BAZ,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0000948,heart,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/12/2014,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_1,100,,paired-ended,1,/files/ENCFF952JKH/,,,2142071481,"Michael Snyder, Stanford",0caa450921f8e41305513dcdc1373fc5,SRA:SRR5171077,https://www.encodeproject.org/files/ENCFF871XHK/@@download/ENCFF871XHK.fastq.gz,,Illumina HiSeq 2000,,released,s3://encode-public/2014/12/03/6a802462-bd01-4e10-8059-409b4e91542b/ENCFF871XHK.fastq.gz,,,"low replicate concordance, low read depth",,
ENCFF952JKH,fastq,fastq,,reads,,ENCSR164BAZ,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0000948,heart,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/12/2014,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_1,100,,paired-ended,2,/files/ENCFF871XHK/,,,2050685423,"Michael Snyder, Stanford",76d2a0aacb9fedb74af8459722f0ea5f,SRA:SRR5171077,https://www.encodeproject.org/files/ENCFF952JKH/@@download/ENCFF952JKH.fastq.gz,,Illumina HiSeq 2000,,released,s3://encode-public/2014/12/03/edf69a34-1668-40d9-94b7-67ed87608770/ENCFF952JKH.fastq.gz,,,"low replicate concordance, low read depth",,
ENCFF104UFH,fastq,fastq,,reads,,ENCSR164BAZ,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0000948,heart,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/12/2014,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_2,101,,paired-ended,1,/files/ENCFF126WYO/,,,1835051206,"Michael Snyder, Stanford",03c91a62d8d509f23b62e2d7444acfa2,SRA:SRR5171076,https://www.encodeproject.org/files/ENCFF104UFH/@@download/ENCFF104UFH.fastq.gz,,Illumina HiSeq 2500,,released,s3://encode-public/2015/05/27/96de867b-9dcc-4637-82c5-f5fa005df15d/ENCFF104UFH.fastq.gz,,,"low replicate concordance, low read depth",,
ENCFF126WYO,fastq,fastq,,reads,,ENCSR164BAZ,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0000948,heart,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/12/2014,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_2,101,,paired-ended,2,/files/ENCFF104UFH/,,,1829352591,"Michael Snyder, Stanford",4534269b3a47d6f94ae28a2814797d66,SRA:SRR5171076,https://www.encodeproject.org/files/ENCFF126WYO/@@download/ENCFF126WYO.fastq.gz,,Illumina HiSeq 2500,,released,s3://encode-public/2015/05/27/c5e3f580-250c-4ca4-bbf5-8add330272c9/ENCFF126WYO.fastq.gz,,,"low replicate concordance, low read depth",,
ENCFF547BPL,fastq,fastq,,reads,,ENCSR288TLO,polyA plus RNA-seq,/mouse-donors/ENCDO072AAA/,UBERON:0001013,adipose tissue,tissue,Mus musculus,,,,,,,,,,,polyadenylated mRNA,,RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804),,,reverse,08/12/2014,ENCODE,,chemical (Illumina TruSeq),350-450,1,1_1,100,,paired-ended,1,/files/ENCFF554BIM/,,,2300138538,"Michael Snyder, Stanford",c18da80d67a33d15bd7519c2759bdcf5,SRA:SRR5171088,https://www.encodeproject.org/files/ENCFF547BPL/@@download/ENCFF547BPL.fastq.gz,,Illumina HiSeq 2000,,released,s3://encode-public/2014/12/03/83ff606c-39ed-43b7-b54c-cca439aa8941/ENCFF547BPL.fastq.gz,,,"low replicate concordance, low read depth",,
