pairid,geneChr_Nested,geneStart_Nested,geneEnd_Nested,ENST_Nested,SYMBOL_Nested,biotype_Nested,tau_value_nested,geneChr_Host,geneStart_Host,geneEnd_Host,ENST_Host,SYMBOL_Host,biotype_Host,tau_value_host,spearman_correlation
62_ID,chr7,116731731,116737316,ENST00000665127.1_3,AC002542.6,lncRNA,0.9274,chr7,116594516,116738860,ENST00000471110.5_1,ST7-OT4,lncRNA,0.8926,0.244866343
63_ID,chr7,116731731,116737316,ENST00000665127.1_3,AC002542.6,lncRNA,0.9274,chr7,116594444,116759773,ENST00000421345.5_3,AC106873.8,protein_coding,0.9307,0.297337926
64_ID,chr7,116731731,116737316,ENST00000665127.1_3,AC002542.6,lncRNA,0.9274,chr7,116712480,116785612,ENST00000432541.5_3,ST7-AS2,lncRNA,0.8992,0.127143318
65_ID,chr17,67473279,67497896,ENST00000585537.1_3,AC002546.1,lncRNA,0.9655,chr17,67410837,67550006,ENST00000590474.7_3,MAP2K6,protein_coding,0.9021,-0.572664389
66_ID,chr16,19717672,19726705,ENST00000565916.1_1,AC002550.1,lncRNA,0.9706,chr16,19713258,19729549,ENST00000219837.12_6,KNOP1,protein_coding,0.7004,-0.240944269
67_ID,chr16,19705356,19705750,ENST00000621246.1_1,AC002550.2,lncRNA,0.674,chr16,19566736,19712485,ENST00000251143.9_3,VPS35L,protein_coding,1,0.251789873
68_ID,chr16,27654519,27655984,ENST00000569881.1_1,AC002551.1,lncRNA,0.6027,chr16,27561464,27791690,ENST00000261588.9_5,KATNIP,protein_coding,0.7882,0.271062271
69_ID,chr17,15943785,15944587,ENST00000442828.2_1,AC002553.1,lncRNA,0.7469,chr17,15932470,16118848,ENST00000268712.8_5,NCOR1,protein_coding,0.6872,0.337606838
70_ID,chr17,15943785,15944587,ENST00000442828.2_1,AC002553.1,lncRNA,0.7469,chr17,15928401,15948329,ENST00000470649.1_6,TTC19,protein_coding,0.7793,0.428571429
71_ID,chr17,15926636,15926967,ENST00000616896.1_1,AC002553.2,lncRNA,0.8371,chr17,15903137,15932718,ENST00000261647.10_5,TTC19,protein_coding,0.481,0.281440781
72_ID,chr17,45195867,45195957,ENST00000408089.1,AC002558.1,miRNA,NA,chr17,45195068,45266661,ENST00000066544.8_5,CDC27,protein_coding,NA,NA
73_ID,chr17,45247191,45248415,ENST00000572193.1_1,AC002558.2,lncRNA,0.7138,chr17,45195068,45266661,ENST00000066544.8_5,CDC27,protein_coding,0.5448,0.088181675
74_ID,chr17,45237763,45245089,ENST00000647948.1_3,AC002558.3,lncRNA,0.7172,chr17,45195068,45266661,ENST00000066544.8_5,CDC27,protein_coding,0.5448,-0.16676851
75_ID,chr12,120137572,120138816,ENST00000535109.1_1,AC002563.1,lncRNA,0.8785,chr12,120123595,120315124,ENST00000392521.7_5,CIT,protein_coding,0.9371,0.212480982
76_ID,chr12,111511771,111511893,ENST00000408332.1,AC002978.1,miRNA,NA,chr12,111471968,111788358,ENST00000261726.11_2,CUX2,protein_coding,NA,NA
77_ID,chr12,111740603,111740703,ENST00000408459.1,AC002979.1,miRNA,NA,chr12,111471968,111788358,ENST00000261726.11_2,CUX2,protein_coding,NA,NA
78_ID,chrX,12166436,12166520,ENST00000516302.1,AC002981.1,miRNA,NA,chrX,11840541,12740304,ENST00000656302.1_3,FRMPD4,protein_coding,NA,NA
79_ID,chr16,13425224,13426440,ENST00000571611.1_3,AC003009.1,lncRNA,0,chr16,13340088,13657245,ENST00000655174.1_1,U91319.1,lncRNA,0.9596,NA
80_ID,chr17,43474297,43474843,ENST00000592389.1_1,AC003070.1,lncRNA,0.9148,chr17,43471274,43509715,ENST00000531735.5_3,ARHGAP27,retained_intron,0.9084,0.31324233
81_ID,chr7,111397242,111402272,ENST00000666594.1_3,AC003077.1,lncRNA,0.6968,chr7,111366533,111846466,ENST00000428084.1,DOCK4,protein_coding,0.963,-0.351463906
82_ID,chr17,41860171,41862050,ENST00000591540.1_3,AC003098.1,lncRNA,0.9877,chr17,41857802,41864988,ENST00000449302.8_2,CFAP97D1,protein_coding,0.9627,0.322549181
83_ID,chrX,28960166,28960685,ENST00000424251.1_1,AC003659.1,lncRNA,0.9713,chrX,28605562,29974835,ENST00000378993.6_2,IL1RAPL1,protein_coding,0.9216,0.278539149
84_ID,chr22,30374938,30424225,ENST00000624945.1_1,AC003681.1,lncRNA,0.6824,chr22,30279157,30426855,ENST00000333027.7_3,MTMR3,protein_coding,0.6819,0.08181957
85_ID,chrX,9217959,9243246,ENST00000432442.1_1,AC003684.1,lncRNA,0.9589,chrX,8993117,9263722,ENST00000651278.1_3,FAM9B,protein_coding,1,-0.103766364
86_ID,chr17,31379124,31379885,ENST00000578040.1_3,AC003687.1,lncRNA,0.9779,chr17,31340104,32484313,ENST00000359872.6_4,ASIC2,protein_coding,0.9587,0.11507504
87_ID,chr17,7186265,7187390,ENST00000576271.1_3,AC003688.2,lncRNA,0.9436,chr17,7185036,7191576,ENST00000317370.13_2,SLC2A4,protein_coding,0.9416,0.508520561
88_ID,chr7,19152096,19153894,ENST00000419944.1_1,AC003986.2,lncRNA,0.9742,chr7,19060613,19156547,ENST00000443687.5_4,TWIST1,nonsense_mediated_decay,0.9669,0.357216375
89_ID,chr7,114201015,114201572,ENST00000635364.1_1,AC003992.1,lncRNA,0.8663,chr7,113726381,114330960,ENST00000412402.5_1,FOXP2,nonsense_mediated_decay,0.9313,0.054983911
90_ID,chrX,118556879,118557510,ENST00000414435.1_1,AC004000.1,lncRNA,0.8813,chrX,118533298,118588441,ENST00000217909.8_2,SLC25A43,protein_coding,0.6699,0.083131168
91_ID,chr7,24940430,24940524,ENST00000459086.1,AC004016.1,miRNA,NA,chr7,24836158,25019797,ENST00000313367.7_6,OSBPL3,protein_coding,NA,NA
92_ID,chr22,18036249,18037847,ENST00000608960.1,AC004019.18,lincRNA,NA,chr22,18000542,18050143,ENST00000651475.1_3,AC007666.2,lncRNA,NA,NA
93_ID,chr22,18036249,18037847,ENST00000608960.1,AC004019.18,lincRNA,NA,chr22,17956134,18037850,ENST00000612582.1_2,CECR2,protein_coding,NA,NA
94_ID,chr4,92029173,92033941,ENST00000515111.1_3,AC004054.1,lncRNA,0.8694,chr4,91048735,92523064,ENST00000509176.5_1,CCSER1,protein_coding,0.8972,0.262900482
95_ID,chr4,105478116,105490034,ENST00000508358.1_1,AC004063.1,lncRNA,0.9209,chr4,105412121,105618749,ENST00000500179.1_1,CXXC4-AS1,lncRNA,0.867,0.325619273
96_ID,chr4,110613159,110613859,ENST00000608733.1_1,AC004067.1,lncRNA,0.8755,chr4,110609783,110624601,ENST00000265164.7_4,CASP6,protein_coding,0.7928,0.619047619
97_ID,chr19,57961056,57964379,ENST00000620532.1_1,AC004076.2,lncRNA,0.7583,chr19,57949337,57988871,ENST00000596831.1_3,AC004076.1,protein_coding,0.8708,0.055915281
98_ID,chr7,27186984,27192217,ENST00000498652.1_3,AC004080.5,lncRNA,0.904,chr7,27179982,27192316,ENST00000521197.5_1,HOXA-AS3,lncRNA,0,NA
99_ID,chr7,27168587,27192180,ENST00000467897.2_3,AC004080.6,lncRNA,NA,chr7,27166546,27192200,ENST00000518451.1_3,HOXA3,processed_transcript,NA,NA
100_ID,chr17,32407900,32409243,ENST00000580658.1_3,AC004147.1,lncRNA,0.9644,chr17,32262455,32483019,ENST00000636421.1_3,AC004147.4,lncRNA,0.9559,0.308704406
101_ID,chr17,32407900,32409243,ENST00000580658.1_3,AC004147.1,lncRNA,0.9644,chr17,31340104,32484313,ENST00000359872.6_4,ASIC2,protein_coding,0.9587,0.283670412
102_ID,chr17,32469965,32474066,ENST00000577709.1_1,AC004147.3,lncRNA,1,chr17,31340104,32484313,ENST00000359872.6_4,ASIC2,protein_coding,0.9587,0.293769839
103_ID,chr17,32469965,32474066,ENST00000577709.1_1,AC004147.3,lncRNA,1,chr17,32262455,32483019,ENST00000636421.1_3,AC004147.4,lncRNA,0.9559,-0.081458805
104_ID,chr17,32262455,32483019,ENST00000636421.1_3,AC004147.4,lncRNA,0.9559,chr17,31340104,32484313,ENST00000359872.6_4,ASIC2,protein_coding,0.9587,0.145595163
105_ID,chr17,32445365,32445901,ENST00000581727.1_1,AC004147.5,lncRNA,0.9752,chr17,32262455,32483019,ENST00000636421.1_3,AC004147.4,lncRNA,0.9559,0.27826876
106_ID,chr17,32445365,32445901,ENST00000581727.1_1,AC004147.5,lncRNA,0.9752,chr17,31340104,32484313,ENST00000359872.6_4,ASIC2,protein_coding,0.9587,0.293648768
107_ID,chr16,72463251,72567791,ENST00000624327.1_1,AC004158.1,lncRNA,0.8268,chr16,72316106,72698846,ENST00000624829.4_4,LINC01572,lncRNA,0.7953,0.17566186565682201
108_ID,chr7,11446581,11453705,ENST00000425837.1_1,AC004160.2,lncRNA,0.9193,chr7,11292606,11559802,ENST00000445839.5_1,AC004160.1,lncRNA,0.9599,0.591062815
109_ID,chr7,11446581,11453705,ENST00000425837.1_1,AC004160.2,lncRNA,0.9193,chr7,11409991,11871824,ENST00000423059.9_7,THSD7A,protein_coding,0.86,0.151021618
110_ID,chr12,112694603,112696895,ENST00000547401.1_1,AC004217.1,lncRNA,0.933,chr12,112597993,112820243,ENST00000377560.9_4,HECTD4,protein_coding,0.8764,0.264674804
111_ID,chr17,33400849,33401393,ENST00000590309.1_1,AC004223.2,lncRNA,0.8177,chr17,33333008,33416338,ENST00000315249.11_3,RFFL,protein_coding,0.9895,0.227327618
112_ID,chr17,33400849,33401393,ENST00000590309.1_1,AC004223.2,lncRNA,0.8177,chr17,33338367,33448512,ENST00000593039.5_7,AC004223.3,protein_coding,0.9979,0.028467413
113_ID,chr17,33345678,33346010,ENST00000612426.1_1,AC004223.4,lncRNA,0.7136,chr17,33338367,33448512,ENST00000593039.5_7,AC004223.3,protein_coding,0.9979,0.287650259
114_ID,chr17,33345678,33346010,ENST00000612426.1_1,AC004223.4,lncRNA,0.7136,chr17,33333008,33416338,ENST00000315249.11_3,RFFL,protein_coding,0.9895,-0.164723188
115_ID,chr16,3357572,3358393,ENST00000574245.1_1,AC004232.1,lncRNA,0.872,chr16,3355471,3368852,ENST00000574298.6_2,ZNF75A,protein_coding,0.7126,0.219018987
116_ID,chr16,3054132,3054860,ENST00000677743.1_1,AC004233.4,protein_coding,NA,chr16,3053431,3055102,ENST00000570515.1_3,AC004233.1,lncRNA,NA,NA
117_ID,chr12,48125690,48126134,ENST00000614562.1_1,AC004241.2,lncRNA,0.7974,chr12,48099867,48136077,ENST00000547799.5_1,AC004241.1,lncRNA,0.7547,0.230651673
118_ID,chr12,48093183,48093700,ENST00000611728.1_1,AC004241.3,lncRNA,0.7682,chr12,48055031,48099813,ENST00000005386.8_4,RPAP3,protein_coding,0.6418,0.093406593
119_ID,chr12,48162311,48163431,ENST00000622792.1_1,AC004241.4,lncRNA,0.8115,chr12,48147698,48172954,ENST00000548498.5_1,SLC48A1,protein_coding,0.9818,0.154909351
120_ID,chr12,48162311,48163431,ENST00000622792.1_1,AC004241.4,lncRNA,0.8115,chr12,48131028,48164817,ENST00000549151.5_6,RAPGEF3,protein_coding,0.9994,0.002068702
121_ID,chr17,30200944,30213685,ENST00000583236.1_1,AC004253.1,lncRNA,0.7226,chr17,30187922,30228727,ENST00000261708.9_4,UTP6,protein_coding,0.5719,0.524740477
122_ID,chr12,120662546,120663224,ENST00000617183.1_2,AC004263.1,lncRNA,0.8986,chr12,120648241,120703574,ENST00000267257.11_4,PXN,protein_coding,0.8589,0.68014746
123_ID,chr12,120655872,120660471,ENST00000651205.1_1,AC004263.2,lncRNA,0.837,chr12,120648241,120703574,ENST00000267257.11_4,PXN,protein_coding,0.8589,0.53023834
124_ID,chr16,20754984,20777942,ENST00000565498.1_3,AC004381.1,lncRNA,0.8852,chr16,20621564,20787242,ENST00000568235.5_3,ACSM3,protein_coding,0.902,0.215420154
125_ID,chr7,10742302,10747033,ENST00000422697.1_1,AC004415.1,lncRNA,0.9723,chr7,10489446,10819571,ENST00000634803.1_3,MGC4859,lncRNA,0.9204,0.480386576
126_ID,chr17,19360392,19361712,ENST00000435953.2_1,AC004448.1,lncRNA,0.9472,chr17,19351491,19396304,ENST00000629746.2_4,AC004448.2,lncRNA,0.9664,0.637437543
127_ID,chr17,19315098,19316431,ENST00000579897.1_3,AC004448.3,lncRNA,0.9745,chr17,19314544,19320589,ENST00000461366.2_2,RNF112,protein_coding,0.8343,0.275510758
128_ID,chr22,19048553,19049356,ENST00000629517.1_1,AC004461.2,lncRNA,0.6745,chr22,19023794,19109967,ENST00000537045.5_3,DGCR2,protein_coding,0.8997,-0.164115895
129_ID,chr12,48178705,48179785,ENST00000599515.2_1,AC004466.1,lncRNA,0.7722,chr12,48176504,48213686,ENST00000080059.12_5,HDAC7,protein_coding,0.9247,0.734777975
130_ID,chr12,48211233,48211749,ENST00000614749.1_1,AC004466.2,lncRNA,0.8623,chr12,48176504,48213686,ENST00000080059.12_5,HDAC7,protein_coding,0.9247,0.287642002
131_ID,chr12,48182208,48182754,ENST00000615576.1_1,AC004466.3,lncRNA,0.8871,chr12,48176504,48213686,ENST00000080059.12_5,HDAC7,protein_coding,0.9247,0.046903895
132_ID,chrX,22716573,22787083,ENST00000442155.1_1,AC004470.1,lncRNA,0,chrX,22277913,23311263,ENST00000608254.1,RP11-40F8.2,lincRNA,0.8942,NA
133_ID,chr17,46137744,46138031,ENST00000583349.1_3,AC004477.1,lncRNA,0,chr17,46125720,46138907,ENST00000362042.8_4,NFE2L1,protein_coding,0.653,NA
134_ID,chr19,2212027,2215564,ENST00000585593.1_3,AC004490.1,lncRNA,0.9409,chr19,2163931,2232577,ENST00000398665.8_2,DOT1L,protein_coding,0.8733,0.291266981
135_ID,chr16,3592738,3595513,ENST00000613210.1_1,AC004494.1,lncRNA,0.7556,chr16,3589032,3627404,ENST00000359128.10_4,NLRC3,protein_coding,0.8739,0.237018981
136_ID,chr19,1010219,1010906,ENST00000610701.1_1,AC004528.2,lncRNA,0.9896,chr19,1009646,1021178,ENST00000593068.7_5,TMEM259,nonsense_mediated_decay,0.914,-0.038615768
137_ID,chr22,31373501,31373844,ENST00000602955.1_3,AC004542.1,lncRNA,0,chr22,31365255,31375381,ENST00000644773.2_3,TUG1,protein_coding,0.6125,NA
138_ID,chr22,31373501,31373844,ENST00000602955.1_3,AC004542.1,lncRNA,0,chr22,31372500,31374834,ENST00000602847.1_3,AC004542.2,lncRNA,0.9441,NA
139_ID,chr22,31372500,31374834,ENST00000602847.1_3,AC004542.2,lncRNA,0.9441,chr22,31365255,31375381,ENST00000644773.2_3,TUG1,protein_coding,0.6125,0.059868434
140_ID,chr7,27913403,27916165,ENST00000671499.1_1,AC004549.1,lncRNA,0.9435,chr7,27870195,28220414,ENST00000283928.10_4,JAZF1,protein_coding,0.8799,0.206522546
141_ID,chr17,55017292,55018636,ENST00000572187.1_1,AC004584.1,lncRNA,0.6953,chr17,55015559,55038411,ENST00000240316.5_4,COIL,protein_coding,0.8913,-0.135946421
142_ID,chr17,55060109,55062465,ENST00000572877.1_1,AC004584.3,lncRNA,0.8903,chr17,55055491,55084129,ENST00000262288.8_2,SCPEP1,protein_coding,0.7695,-0.009820611
143_ID,chr7,29231197,29233725,ENST00000642619.1_1,AC004593.1,lncRNA,0.8679,chr7,29035252,29234892,ENST00000409850.5_3,CPVL,protein_coding,0.9488,0.388927027
144_ID,chr7,29231197,29233725,ENST00000642619.1_1,AC004593.1,lncRNA,0.8679,chr7,29186212,29519972,ENST00000474070.5_3,CHN2,nonsense_mediated_decay,0.9433,-0.184647597
145_ID,chr7,29231197,29233725,ENST00000642619.1_1,AC004593.1,lncRNA,0.8679,chr7,29161955,29554283,ENST00000644824.1_2,AC004593.2,protein_coding,0.8333,-0.055687897
146_ID,chr7,121968545,122080442,ENST00000630777.2_2,AC004594.1,lncRNA,1,chr7,121958478,122526813,ENST00000313070.11_3,CADPS2,protein_coding,0.8863,0
147_ID,chr19,3672579,3674293,ENST00000586675.1_1,AC004637.1,lncRNA,0.9822,chr19,3630180,3700466,ENST00000335312.8_5,PIP5K1C,protein_coding,0.8523,0.25032174
