pairid,geneChr_Nested,geneStart_Nested,geneEnd_Nested,ENST_Nested,SYMBOL_Nested,biotype_Nested,tau_value_nested,geneChr_Host,geneStart_Host,geneEnd_Host,ENST_Host,SYMBOL_Host,biotype_Host,tau_value_host,spearman_correlation
35_ID,chr9,119983278,119988092,ENSMUST00000214403.1,1700019L13Rik,antisense,0.947,chr9,119901615,120068283,ENSMUST00000177637.1,Cx3cr1,protein_coding,0.8202,0.063124098
36_ID,chr2,130405258,130406070,ENSMUST00000110281.1,1700020A23Rik,protein_coding,1,chr2,130405238,130408256,ENSMUST00000188900.1,Gm28372,protein_coding,0.9549,0.341799536
37_ID,chr19,5502766,5503787,ENSMUST00000189704.1,1700020D05Rik,protein_coding,0.9838,chr19,5492234,5510496,ENSMUST00000237945.1,Snx32,protein_coding,0.7426,0.668831169
38_ID,chrX,69945299,69945978,ENSMUST00000075654.1,1700020N15Rik,protein_coding,0.9761,chrX,69929258,70143588,ENSMUST00000188663.1,1700111N16Rik,antisense,0.9391,0.483350213
39_ID,chr4,117002165,117003012,ENSMUST00000138729.1,1700021J08Rik,antisense,0.9123,chr4,116995316,117005277,ENSMUST00000050067.9,Hectd3,protein_coding,0.7839,0.801366568
40_ID,chr13,80884223,80885524,ENSMUST00000161006.1,1700023H06Rik,processed_transcript,0.9558,chr13,80883409,80896042,ENSMUST00000099356.9,Arrdc3,protein_coding,0.7736,0.392718147
41_ID,chr14,123987634,124015684,ENSMUST00000190088.1,1700024B18Rik,antisense,0.9418,chr14,123977906,124677127,ENSMUST00000095529.9,Fgf14,protein_coding,0.9447,0.418973871
42_ID,chr7,121589902,121591591,ENSMUST00000205586.1,1700025J12Rik,lincRNA,0.9768,chr7,121589275,121609334,ENSMUST00000206244.1,4933432K03Rik,antisense,0.9462,0.565751966
43_ID,chr10,83139149,83142038,ENSMUST00000160997.1,1700025N21Rik,antisense,0.9279,chr10,82985497,83195900,ENSMUST00000040110.7,Chst11,protein_coding,0.8432,-0.184858988
44_ID,chr6,39063877,39067598,ENSMUST00000186189.1,1700025N23Rik,antisense,0.9453,chr6,38918979,39084585,ENSMUST00000003017.12,Tbxas1,protein_coding,0.7531,0.127687974
45_ID,chr15,78911965,78913660,ENSMUST00000150472.1,1700027A07Rik,antisense,0.9452,chr15,78899666,78919032,ENSMUST00000134703.7,Gm49510,protein_coding,0.78,0.183602702
46_ID,chr5,64454812,64467943,ENSMUST00000189767.2,1700027F09Rik,lincRNA,0.9646,chr5,64433954,64473588,ENSMUST00000199362.1,Gm31363,lincRNA,0.815,0.610454796
47_ID,chr5,107534710,107551542,ENSMUST00000238787.1,1700028K03Rik,protein_coding,0.8738,chr5,107507620,107580596,ENSMUST00000143074.1,Gm42669,protein_coding,0.887,0.27110967
48_ID,chr7,131146438,131150580,ENSMUST00000190866.6,1700029B22Rik,antisense,0.9782,chr7,130162450,133123350,ENSMUST00000124096.7,Fgfr2,protein_coding,0.9003,-0.186620623
49_ID,chr17,28905264,28906771,ENSMUST00000125317.1,1700030A11Rik,antisense,0.9144,chr17,28896391,28915324,ENSMUST00000062357.5,Bnip5,protein_coding,0.8488,0.645480779
50_ID,chr12,53303351,53309846,ENSMUST00000222223.1,1700030L22Rik,antisense,0.9672,chr12,53248676,54072175,ENSMUST00000101432.2,Npas3,protein_coding,0.8759,0.40511053
51_ID,chr8,121544381,121548342,ENSMUST00000181133.2,1700030M09Rik,bidirectional_promoter_lncRNA,0.9947,chr8,119910840,124345722,ENSMUST00000127664.1,Galnt2l,protein_coding,0.7074,-0.040840239
52_ID,chr3,40900195,40902543,ENSMUST00000099123.4,1700034I23Rik,protein_coding,0.9694,chr3,40846969,40936307,ENSMUST00000108078.8,Abhd18,protein_coding,0.927,0.164122654
53_ID,chr6,146950328,146954422,ENSMUST00000036592.14,1700034J05Rik,protein_coding,0.9583,chr6,146888486,147032025,ENSMUST00000016631.13,Ppfibp1,protein_coding,0.6888,-0.037124523
54_ID,chr3,85317518,85332030,ENSMUST00000189046.1,1700036G14Rik,antisense,0.969,chr3,84496425,85887516,ENSMUST00000154148.7,Gm37240,protein_coding,0.8834,0.142886906
55_ID,chr16,3895178,3908653,ENSMUST00000177519.1,1700037C18Rik,protein_coding,0.9659,chr16,3884647,3919517,ENSMUST00000176233.1,Gm20695,protein_coding,0.6223,-0.305538114
56_ID,chr19,44828492,44835938,ENSMUST00000174082.1,1700039E22Rik,antisense,0.9067,chr19,44756044,44837851,ENSMUST00000174490.8,Pax2,protein_coding,0.9657,0.332308108
57_ID,chr12,88632268,88665399,ENSMUST00000222440.1,1700040E09Rik,lincRNA,0.9684,chr12,88631355,88706819,ENSMUST00000220698.1,Gm48664,lincRNA,0.963,0.680385289
58_ID,chr15,55436114,55439020,ENSMUST00000187158.1,1700040F17Rik,antisense,0.9798,chr15,55307749,55520803,ENSMUST00000023053.11,Col14a1,protein_coding,0.7279,-0.071350607
59_ID,chr15,78670784,78676114,ENSMUST00000230183.1,1700041B01Rik,antisense,0.9975,chr15,78667330,78718113,ENSMUST00000229441.1,Elfn2,protein_coding,0.9652,0.575118878
60_ID,chr11,11868122,11885321,ENSMUST00000151032.1,1700042O10Rik,antisense,0.9396,chr11,11814100,11898144,ENSMUST00000178704.7,Ddc,protein_coding,0.9231,0.224525621
61_ID,chr8,26082608,26096522,ENSMUST00000153552.8,1700047A11Rik,antisense,0.9518,chr8,26021420,26119224,ENSMUST00000037182.13,Hook3,protein_coding,0.695,-0.229317177
62_ID,chr14,44191606,44213237,ENSMUST00000227115.1,1700047E10Rik,antisense,0.9186,chr14,44170305,44213254,ENSMUST00000226164.1,4930503E14Rik,protein_coding,0.9744,0.276443398
63_ID,chr11,58322987,58324439,ENSMUST00000145068.1,1700047K16Rik,processed_transcript,0.8315,chr11,58317224,58330331,ENSMUST00000186859.1,Zfp672,protein_coding,0.8261,0.041939979
64_ID,chr5,108763841,108768914,ENSMUST00000189659.1,1700047L14Rik,antisense,0.9705,chr5,108729289,108774982,ENSMUST00000212176.1,Rnf212,protein_coding,0.9594,0.471028627
65_ID,chr16,92308715,92312468,ENSMUST00000132861.2,1700048M11Rik,antisense,0.7563,chr16,92301285,92313041,ENSMUST00000063641.10,Smim11,protein_coding,0.735,-0.338961039
66_ID,chr1,92572373,92572749,ENSMUST00000181755.1,1700054K02Rik,antisense,0.9794,chr1,92571321,92574397,ENSMUST00000214239.1,Olfr1413,protein_coding,0.9829,0.836973951
67_ID,chr2,118304913,118308166,ENSMUST00000125654.1,1700054M17Rik,antisense,0.9748,chr2,118277109,118373419,ENSMUST00000039160.2,Gpr176,protein_coding,0.819,-0.236863407
68_ID,chr1,184033029,184034301,ENSMUST00000193919.1,1700056E22Rik,protein_coding,0.9922,chr1,184013301,184037274,ENSMUST00000139839.1,Dusp10,protein_coding,0.907,0.84280354
69_ID,chr7,19258491,19259739,ENSMUST00000159981.1,1700058P15Rik,antisense,0.7445,chr7,19256928,19271817,ENSMUST00000032561.8,Vasp,protein_coding,0.8087,0.596103896
70_ID,chr2,158192007,158195749,ENSMUST00000109506.2,1700060C20Rik,antisense,0.9923,chr2,158182532,158229222,ENSMUST00000103121.9,D630003M21Rik,protein_coding,0.8831,0.440134198
71_ID,chr4,53562982,53564697,ENSMUST00000138377.1,1700060J05Rik,antisense,0.8735,chr4,53440412,53622478,ENSMUST00000102911.9,Slc44a1,protein_coding,0.7646,0.171484257
72_ID,chr9,110986200,110987804,ENSMUST00000185439.1,1700061E17Rik,antisense,0.9395,chr9,110984934,110989713,ENSMUST00000199891.1,Rtp3,protein_coding,0.9437,0.36062241
73_ID,chr13,41800782,41801795,ENSMUST00000154159.1,1700061E18Rik,antisense,0.9391,chr13,41763147,41847488,ENSMUST00000072012.9,Adtrp,protein_coding,0.9618,0.148770954
74_ID,chr5,91766241,91767300,ENSMUST00000187067.1,1700063O14Rik,lincRNA,0.9626,chr5,91763324,91767914,ENSMUST00000191369.1,Gm28271,lincRNA,0.9598,0.168402309
75_ID,chr18,57504421,57533752,ENSMUST00000150994.1,1700066O22Rik,lincRNA,0.9293,chr18,57373454,57552201,ENSMUST00000130696.7,4930511M06Rik,antisense,0.8418,0.517888985
76_ID,chr5,73157013,73157884,ENSMUST00000146728.2,1700071G01Rik,antisense,0.8908,chr5,73020321,73256619,ENSMUST00000101127.11,Fryl,protein_coding,0.6012,0.50094718
77_ID,chr17,43588339,43591509,ENSMUST00000169733.7,1700071M16Rik,antisense,0.9586,chr17,43568268,43612201,ENSMUST00000024706.11,Pla2g7,protein_coding,0.8648,0.684694186
78_ID,chr2,4132062,4141141,ENSMUST00000141488.7,1700080N15Rik,antisense,0.984,chr2,4017743,4614041,ENSMUST00000177457.7,Frmd4a,protein_coding,0.8513,-0.208349776
79_ID,chr12,71383153,71384208,ENSMUST00000190526.1,1700083H02Rik,lincRNA,0.9637,chr12,71355440,71498711,ENSMUST00000221650.1,Gm40438,lincRNA,0.958,0.306690832
80_ID,chr12,82932519,82939155,ENSMUST00000187123.1,1700085C21Rik,antisense,0.9222,chr12,82617498,83162056,ENSMUST00000186458.6,Rgs6,protein_coding,0.898,0.167936237
81_ID,chr15,73249545,73264120,ENSMUST00000228696.1,1700085D07Rik,antisense,0.703,chr15,73205101,73423191,ENSMUST00000110036.10,Ptk2,protein_coding,0.6085,-0.386232411
82_ID,chr11,65151909,65159891,ENSMUST00000108696.6,1700086D15Rik,protein_coding,0.9982,chr11,65002038,65162961,ENSMUST00000047463.14,Arhgap44,protein_coding,0.8775,-0.353962531
83_ID,chr14,30770680,30778004,ENSMUST00000227408.1,1700087M22Rik,antisense,0.9627,chr14,30715614,30822721,ENSMUST00000054230.11,Sfmbt1,protein_coding,0.8437,0.299553515
84_ID,chr8,77624171,77628957,ENSMUST00000134397.1,1700092C02Rik,lincRNA,0.9682,chr8,77610859,77686572,ENSMUST00000139140.7,4933431K23Rik,processed_transcript,0.8985,0.554468419
85_ID,chr10,76389014,76401507,ENSMUST00000190491.1,1700094J05Rik,antisense,0.9682,chr10,76351262,76442786,ENSMUST00000217838.1,Pcnt,protein_coding,0.7321,0.080595147
86_ID,chr5,112793291,112801701,ENSMUST00000182801.7,1700095B10Rik,antisense,0.9594,chr5,112688875,112896362,ENSMUST00000086617.10,Myo18b,protein_coding,0.9961,0.170522806
87_ID,chr4,138137594,138138518,ENSMUST00000124620.1,1700095J12Rik,antisense,0.9769,chr4,137993021,138208508,ENSMUST00000084215.11,Eif4g3,protein_coding,0,NA
88_ID,chr17,30622440,30626905,ENSMUST00000188852.1,1700097N02Rik,bidirectional_promoter_lncRNA,0.8461,chr17,30459501,30923831,ENSMUST00000235858.1,Gm50252,processed_transcript,0.8684,-0.220572644
89_ID,chr13,102760254,102761896,ENSMUST00000171722.1,1700099I09Rik,antisense,0.9523,chr13,102732490,103334460,ENSMUST00000167058.7,Mast4,protein_coding,0.9697,0.014231648
90_ID,chr13,70573240,70576110,ENSMUST00000187681.6,1700100L14Rik,antisense,0.9756,chr13,70551941,70596253,ENSMUST00000223102.1,Ice1,protein_coding,0.7734,0.662118042
91_ID,chr14,122229904,122233654,ENSMUST00000187423.1,1700108J01Rik,antisense,0.9729,chr14,122181703,122402234,ENSMUST00000026625.6,Clybl,protein_coding,0.7681,-0.515227458
92_ID,chr15,77084442,77096314,ENSMUST00000181870.1,1700109K24Rik,antisense,0.7401,chr15,77078989,77306928,ENSMUST00000171751.9,Rbfox2,protein_coding,0.7716,-0.163636364
93_ID,chr9,40323425,40343564,ENSMUST00000140807.8,1700110K17Rik,antisense,0.8565,chr9,40293238,40531383,ENSMUST00000119373.8,Gramd1b,protein_coding,0.9327,0.621212121
94_ID,chr6,36937047,36985784,ENSMUST00000031863.2,1700111E14Rik,antisense,0.9011,chr6,36846021,37299974,ENSMUST00000101532.9,Dgki,protein_coding,0.903,0.448794075
95_ID,chr17,88294504,88306887,ENSMUST00000234143.1,1700116H05Rik,lincRNA,0.9103,chr17,88253482,88388699,ENSMUST00000234514.1,Gm31615,lincRNA,0.8145,0.140900465
96_ID,chr16,34935853,34939329,ENSMUST00000187558.1,1700119H24Rik,antisense,0.8725,chr16,34784920,35002420,ENSMUST00000023538.8,Mylk,protein_coding,0.7646,0.731682601
97_ID,chr13,91861431,91862044,ENSMUST00000122270.2,1700119I11Rik,antisense,0.9634,chr13,91853386,91876885,ENSMUST00000022122.3,Ckmt2,protein_coding,0.9839,0.475726127
98_ID,chr8,87500048,87501231,ENSMUST00000182952.1,1700120C18Rik,lincRNA,0.9755,chr8,87460468,87525552,ENSMUST00000210935.1,Gm2694,lincRNA,0.9106,0.701493424
99_ID,chr18,74525139,74531124,ENSMUST00000152951.1,1700120E14Rik,antisense,0.9576,chr18,74442536,74771493,ENSMUST00000074157.12,Myo5b,protein_coding,0.8343,0.696572346
100_ID,chr7,127603899,127604445,ENSMUST00000191038.1,1700120K04Rik,antisense,0.9995,chr7,127588766,127604799,ENSMUST00000205694.1,Rnf40,protein_coding,0.7804,0.203858877
101_ID,chr14,67324893,67335928,ENSMUST00000177127.1,1700120O09Rik,processed_transcript,0.9799,chr14,67233585,67430918,ENSMUST00000176161.7,Ebf2,protein_coding,0.8035,0.446635802
102_ID,chr1,59534810,59537229,ENSMUST00000186973.1,1700122D07Rik,antisense,0.946,chr1,59532990,59548788,ENSMUST00000191318.6,Gm28411,antisense,0.9836,0.574596585
103_ID,chr1,59534810,59537229,ENSMUST00000186973.1,1700122D07Rik,antisense,0.946,chr1,59516263,59634509,ENSMUST00000114243.7,Gm973,protein_coding,0.955,0.252735727
104_ID,chr6,96164496,96166243,ENSMUST00000090061.5,1700123L14Rik,protein_coding,0.969,chr6,96113153,96657198,ENSMUST00000122120.7,Tafa1,protein_coding,0.9669,0
105_ID,chr16,5975584,5998496,ENSMUST00000190515.1,1700123O21Rik,sense_intronic,0.8799,chr16,5885354,7353045,ENSMUST00000230658.1,Rbfox1,protein_coding,0.9414,0.54272042
106_ID,chr4,124890887,124894782,ENSMUST00000154947.1,1700125G02Rik,antisense,0.8667,chr4,124885798,124917800,ENSMUST00000149146.1,Epha10,protein_coding,0.9195,0.821963417
107_ID,chr8,68368465,68375710,ENSMUST00000139265.1,1700125H03Rik,antisense,0.9653,chr8,68356780,68735146,ENSMUST00000078350.12,Csgalnact1,protein_coding,0.8551,-0.023469035
108_ID,chr6,143201396,143221448,ENSMUST00000204351.1,1700126G02Rik,antisense,0.9246,chr6,143167253,143232307,ENSMUST00000205256.1,Etnk1,protein_coding,0.8444,0.471844674
109_ID,chr15,95097541,95162394,ENSMUST00000189291.6,1700129L04Rik,sense_intronic,0.9483,chr15,95075229,95528559,ENSMUST00000229933.1,Nell2,protein_coding,0.7894,0.460415318
110_ID,chr8,124305131,124306507,ENSMUST00000162325.1,1810008B01Rik,antisense,0.7652,chr8,119910840,124345722,ENSMUST00000127664.1,Galnt2l,protein_coding,0.7074,0.612298493
111_ID,chr8,124305131,124306507,ENSMUST00000162325.1,1810008B01Rik,antisense,0.7652,chr8,124231390,124345722,ENSMUST00000034458.8,Galnt2,protein_coding,0.7856,0.602850447
112_ID,chr19,8888852,8890881,ENSMUST00000096251.9,1810009A15Rik,protein_coding,0.8373,chr19,8883731,8892627,ENSMUST00000187504.6,Lbhd1,protein_coding,0.5831,-0.488899332
113_ID,chr2,26138545,26139543,ENSMUST00000155199.1,1810012K08Rik,lincRNA,0.7914,chr2,26136813,26140521,ENSMUST00000133808.1,Tmem250-ps,protein_coding,0.7192,0.780519481
114_ID,chr13,64248727,64271852,ENSMUST00000222277.1,1810034E14Rik,antisense,0.8006,chr13,64189267,64274988,ENSMUST00000221634.1,Cdc14b,protein_coding,0.9626,-0.171707399
115_ID,chr5,148958669,148969882,ENSMUST00000203662.1,1810059H22Rik,processed_transcript,0.8495,chr5,148893774,148995147,ENSMUST00000147473.5,Gm42791,protein_coding,0.9569,0.007520395
116_ID,chr5,148958669,148969882,ENSMUST00000203662.1,1810059H22Rik,processed_transcript,0.8495,chr5,148948896,148996566,ENSMUST00000133694.1,Gm15406,lincRNA,0.7063,-0.064031454
117_ID,chr9,60334141,60334968,ENSMUST00000214235.1,2010001M07Rik,antisense,0.9302,chr9,59966930,60511035,ENSMUST00000098660.9,Thsd4,protein_coding,0.8998,0.351835987
118_ID,chr2,158070366,158091797,ENSMUST00000186977.1,2010009K17Rik,antisense,0.8689,chr2,158028798,158132297,ENSMUST00000152452.7,Rprd1b,protein_coding,0.8664,0.539041777
119_ID,chr1,185312186,185313803,ENSMUST00000192375.1,2010103J01Rik,antisense,0.8666,chr1,185284725,185329396,ENSMUST00000027921.10,Iars2,protein_coding,0.6189,0.097720388
120_ID,chr17,86285163,86287178,ENSMUST00000191222.1,2010106C02Rik,antisense,0.8903,chr17,86167784,86657919,ENSMUST00000097275.8,Prkce,protein_coding,0.8863,-0.329859904
121_ID,chr17,29614459,29614770,ENSMUST00000234617.1,2010106G04Rik,bidirectional_promoter_lncRNA,0.9734,chr17,29549798,29682012,ENSMUST00000150388.2,Gm28052,processed_transcript,0.9291,0.253736313
122_ID,chr16,32454597,32456149,ENSMUST00000232596.1,2210020O09Rik,antisense,0.9418,chr16,32430923,32475070,ENSMUST00000079791.10,Pcyt1a,protein_coding,0.5684,0.141041508
123_ID,chr18,57632078,57638585,ENSMUST00000236285.1,2210409D07Rik,antisense,0.9358,chr18,57533779,57731065,ENSMUST00000079738.9,Ccdc192,protein_coding,0.9577,0.309354243
124_ID,chr1,180952063,180958149,ENSMUST00000128545.2,2210411M09Rik,antisense,0.7545,chr1,180942458,180975112,ENSMUST00000027800.14,Tmem63a,protein_coding,0.7952,0.64524937
125_ID,chr5,87969458,87972870,ENSMUST00000007601.3,2310003L06Rik,protein_coding,0.925,chr5,87908578,87979351,ENSMUST00000190123.1,1700066N21Rik,antisense,0.9622,0.376389882
126_ID,chr19,46348200,46350302,ENSMUST00000189008.2,2310034G01Rik,protein_coding,0.8441,chr19,46341120,46375252,ENSMUST00000128041.7,Mfsd13a,protein_coding,0.7634,-0.317023246
127_ID,chr16,93792135,93794901,ENSMUST00000180967.2,2310043M15Rik,antisense,0.6151,chr16,93711903,93810588,ENSMUST00000045004.10,Dop1b,protein_coding,0.7378,0.338961039
128_ID,chr7,83659574,83660963,ENSMUST00000125131.1,2310044K18Rik,antisense,0.9445,chr7,83642824,83735523,ENSMUST00000001792.11,Il16,protein_coding,0.686,0.397624186
129_ID,chr7,131338219,131362759,ENSMUST00000059438.10,2310057M21Rik,protein_coding,0.6722,chr7,130162450,133123350,ENSMUST00000124096.7,Fgfr2,protein_coding,0.9003,-0.005194805
130_ID,chr15,99972157,99973287,ENSMUST00000188271.2,2310068J16Rik,antisense,0.6379,chr15,99970064,100014011,ENSMUST00000057632.15,Larp4,protein_coding,0.9999,0.033127067
131_ID,chr9,112227578,112228242,ENSMUST00000161216.1,2310075C17Rik,lincRNA,0.921,chr9,112065257,112235018,ENSMUST00000162097.7,Arpp21,protein_coding,0.9128,0.203067207
132_ID,chr16,88626785,88627666,ENSMUST00000052337.3,2310079G19Rik,protein_coding,1,chr16,88608669,88638214,ENSMUST00000232360.1,Gm49688,lincRNA,0.9663,0.724568837
133_ID,chr17,69275361,69277208,ENSMUST00000187090.1,2410021H03Rik,antisense,0.7833,chr17,69126999,69289989,ENSMUST00000239167.1,Epb41l3,protein_coding,0.8034,0.518667464
134_ID,chr13,66418113,66441118,ENSMUST00000173583.7,2410141K09Rik,protein_coding,0.9855,chr13,66244269,66451277,ENSMUST00000225647.1,Gm26754,lincRNA,0.9663,0.739577676
135_ID,chr5,3585111,3586374,ENSMUST00000198718.1,2510017J16Rik,antisense,0.5821,chr5,3583977,3596585,ENSMUST00000042753.13,Rbm48,protein_coding,0.6047,0.581818182
136_ID,chr16,36862449,36862741,ENSMUST00000231824.1,2600002D14Rik,sense_intronic,0.8393,chr16,36828406,36872721,ENSMUST00000114819.7,Iqcb1,protein_coding,0.7535,0.254545455
137_ID,chr16,36862449,36862741,ENSMUST00000231824.1,2600002D14Rik,sense_intronic,0.8393,chr16,36792883,36874826,ENSMUST00000075946.11,Eaf2,protein_coding,0.78,0.226268072
138_ID,chr13,104684930,104694994,ENSMUST00000131215.1,2610204G07Rik,antisense,0.7644,chr13,104631139,104816953,ENSMUST00000022228.12,Cwc27,protein_coding,0.5237,-0.146066028
139_ID,chr14,8367439,8371010,ENSMUST00000225127.1,2610318M16Rik,antisense,0.9729,chr14,8348936,8378754,ENSMUST00000022269.6,Oit1,protein_coding,0.8251,0.71914652
140_ID,chr8,124836944,124863014,ENSMUST00000211971.1,2810004N23Rik,protein_coding,0.7881,chr8,124831697,124863703,ENSMUST00000161868.1,Gm16163,processed_transcript,0.9325,-0.347719845
141_ID,chr8,123042465,123044602,ENSMUST00000186531.1,2810013P06Rik,bidirectional_promoter_lncRNA,0.6307,chr8,119910840,124345722,ENSMUST00000127664.1,Galnt2l,protein_coding,0.7074,-0.561038961
